#separator:tab
#html:true
What's the definition of the dot product?	<br>\[\vec x \cdot \vec y = \sum_{i=1}^n x_iy_i,\ \ \vec x, \vec y \in \mathbb{R}^n\]
What are the equations for backward propagation on a neural network?	"[$]&nbsp;<span style=""color: rgb(189, 224, 82); background-color: rgba(15, 15, 15, 0.3);"">\begin</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgb(209, 148, 158); background-color: rgba(15, 15, 15, 0.3);"">aligned</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">
dZ^</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">[</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">l</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">]</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);""> </span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">&amp;</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">= dA^</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">[</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">l</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">]</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);""> * g'^</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">[</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">l</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">]</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">(Z^</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">[</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">l</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">]</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">) </span><span style=""color: rgb(189, 224, 82); background-color: rgba(15, 15, 15, 0.3);"">\\</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">
dW^</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">[</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">l</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">]</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);""> </span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">&amp;</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">= </span><span style=""color: rgb(189, 224, 82); background-color: rgba(15, 15, 15, 0.3);"">\frac</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">1</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">m</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">dZ^</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">[</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">l</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">]</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);""> A^</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">[</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">l-1</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">]</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">T</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);""> </span><span style=""color: rgb(189, 224, 82); background-color: rgba(15, 15, 15, 0.3);"">\\</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">
db^</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">[</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">l</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">]</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);""> </span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">&amp;</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">= </span><span style=""color: rgb(189, 224, 82); background-color: rgba(15, 15, 15, 0.3);"">\frac</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">1</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">m</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);""> </span><span style=""color: rgb(189, 224, 82); background-color: rgba(15, 15, 15, 0.3);"">\sum</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);""> dZ^</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">[</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">l</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">]</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);""> </span><span style=""color: rgb(189, 224, 82); background-color: rgba(15, 15, 15, 0.3);"">\\</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">
dA^</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">[</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">l-1</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">]</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);""> </span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">&amp;</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">= W^</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">[</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">l</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">]</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">T</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">dZ^</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">[</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">l</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">]</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">
</span><span style=""color: rgb(189, 224, 82); background-color: rgba(15, 15, 15, 0.3);"">\end</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgb(209, 148, 158); background-color: rgba(15, 15, 15, 0.3);"">aligned</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}</span><span style=""color: rgb(189, 224, 82); background-color: rgba(15, 15, 15, 0.3);"">\ </span><span style=""color: rgb(189, 224, 82); background-color: rgba(15, 15, 15, 0.3);"">\text</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">{</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">vectorised</span><span style=""color: rgba(255, 255, 255, 0.9); background-color: rgba(15, 15, 15, 0.3);"">}&nbsp;</span>[/$]<br>"
What are the equations for forward propagation on a neural network?	"\[\begin{aligned} Z^{[l]} &amp;= W^{[l]} A^{[l-1]} + b^{[l]} \\ A^{[l]} &amp;= g^{[l]}(Z^{[l]})\end{aligned}\]<span style=""color: rgb(189, 224, 82); background-color: rgba(15, 15, 15, 0.3);""><br></span><br>"
What is the sigmoid function?	\[\sigma(x) = \frac{1}{1+e^{-x}}\]<br>
What is an activation function?	An activation function is a typically non-linear function that takes the linear computation of a neuron and outputs its final activation.
What are some common activation functions? Can you picture their graphs?	1. Sigmoid (squashed S ranging (0, 1))<div>2. ReLU&nbsp;</div><div>3. tanh (squashed S ranging (-1, 1))</div>
What is the ReLU function?	The rectified linear unit:<div>[$] ReLU = max(0, x) [/$]<br></div>
What is the&nbsp;\(\tanh\)&nbsp;function?	\[\tanh(x) = \frac{e^x - e^{-x}}{e^x + e^{-x}}\]<br>
What is the derivative of the sigmoid function?	\[\frac{d \sigma(x)}{dx} = \frac{e^{-x}}{(1+e^{-x})^2}\]<br>
What is the derivative of the&nbsp;\(\tanh\)&nbsp;function?	\[\frac{d\tanh(x)}{dx} = 1-\tanh(x)^2\]<br>
What is the derivative of the ReLU function?	"\[\frac{d\mathrm{ReLU}(z)}{dz} =\left\{
	\begin{array}{ll}
		1  &amp; \mbox{if } x &gt; 0 \\\text{undefined}  &amp; \mbox{if } x = 0 \\		0 &amp; \mbox{if } x &lt; 0
	\end{array}
\right.\]<br>"
In an&nbsp;\(L\)-layered neural network, what are the dimensions of: weights, biases, activations at each layer?	<div>If&nbsp;\(n^{[l]}\)&nbsp;is the number of hidden units at layer&nbsp;\(l\),&nbsp;\(1 \leq l \leq L\), then:<br>&nbsp; &nbsp;1.&nbsp;\(W^{[l]}\)&nbsp;has shape&nbsp;&nbsp;\(n^{[l]}\times n^{[l-1]}\)&nbsp;(\(dW\)&nbsp;will have the same dimensions)<br>&nbsp; &nbsp;2.&nbsp;\(b^{[l]}\)&nbsp;has shape&nbsp;\(n^{[l]}\times 1\)&nbsp;&nbsp;(\(db\)&nbsp;will have the same dimensions)<br>&nbsp; &nbsp;3.&nbsp;\(Z^{[l]}\)&nbsp;and&nbsp;\(A^{[l]}\)&nbsp;have the same shape,&nbsp;\(n^{[l]} \times m\)&nbsp;(\(dZ\)&nbsp;will have the same dimensions)<br></div>
What is the common notation for elements in an&nbsp;[$]L[/$]-layered neural network? (Think number of units, activations, prediction, minibatches.)	[$]n^{[l]}[/$] = the number of units in layer&nbsp;[$]l[/$]<br><div>[$]a^{[l] \{ m \} }[/$] = the activation vector for layer&nbsp;[$]l[/$], minibatch&nbsp;[$]m[/$]</div><div>[$]X = a^{[0]} [/$]<br></div><div>[$]\hat{y} = a^{[L]}[/$]</div><div><br></div>
What are the inputs and outputs to a:<div>- forward propagation step at layer&nbsp;[$]l[/$]</div><div>- backward propagation step at layer&nbsp;[$]l[/$]?</div>	"<div>Given a layer [$]l[/$], we have [$]W^{[l]}, b^{[l]}[/$]</div><div><br>forward propagation function implementing the forward prop equations results in output [$]a^{[l]}[/$], caches [$]z^{[l]}[/$] for the back-propagation function</div><div><br>backward propagation function takes [$]da^{[l]}[/$] as input, outputs [$]da^{[l-1]},\ dw^{[l]},\ db^{[l]}[/$]<br></div><div><br></div><div><img src=""Machine learning - General case for forward-_back-propagation.jpg""><br></div>"
What does the entire optimisation process look like for a neural network? (What are the feedback loops in a NN?)	"<img src=""Untitled.png"">"
Can you know beforehand what the correct hyperparameters are for a given ML task?	No—they'll be task-/data-/model-specific. ML is generally an iterative process.
Generally speaking, how do you debug a model?&nbsp;	<div>First, use the bias and variance framing to find out what went wrong; high bias = not learning on the training set, high variance = no generalisation to test set.</div><div><br></div><div>If your model isn't learning at all, i.e. bad train error:</div><div>- look at your forward pass, and make sure there are no subtle implementation bugs</div><div>- make sure that the loss function and gradients look sane</div><div>- look at your data and batching process: is the model seeing the data correctly?</div><div>- try training it for longer, or give it more data</div><div>- see if the model is failing in some systematic way, i.e. having trouble classifying our outputting a particular thing rather than generally learning nothing</div><div>- try increasing the learning rate – it's possible it is too small</div><div>- look at your logging code and make sure there is no bug there</div><div><br></div><div>If your model has high train accuracy but low test accuracy:</div><div>- sanity check your test code: how are you calculating accuracy? how are you logging it?</div><div>- make sure your test data has been preprocessed in the same way as the train data (e.g. if training images are black and white, test images should also be...)<br></div><div>- look at your test data to see if there is any form of distributional shift<br></div><div>- take a single test example and look at how your model is behaving under that; if available, use visualisation/interpretability tooling</div><div>- try some form of regularisation, like weight decay or dropout</div>
How can you spot a model exhibiting high bias?	<b>High bias</b> means that your model is not fitting well on the training data. You can tell a model has high bias when its accuracy (or loss, or whatever metric you're using) is not very good on the training set.<div><br></div><div>A note on bias: if the Bayes error (the absolute optimum a function could ever achieve) is not much smaller than the model's error, then there isn't much bias to speak of. However, if the Bayes error is very low and the model's is significantly higher, then you have high bias (the difference between the figures is <b>avoidable bias</b>).</div>
How can you spot a model with high variance?	A model has <b>high variance</b> when it does not generalise well from the training set to the development/test set. It's also referred to as <b>overfitting</b>.<div><br></div><div><u>Example:</u></div><div>training accuracy: 98%</div><div>test accuracy: 71%</div>
How do you correct a model exhibiting high variance?	<div><u>Fixes:</u><br></div><div><div>- try regularisation, dropout</div><div>- try early stopping<br></div><div>- check your development and test set distributions. If your test set is from another distribution, you're dealing with&nbsp;<b>covariate shift</b>&nbsp;(which is a fancy term for:&nbsp;<i>your data is different</i>)</div></div>
How do you search for hyperparameters?	<div>- try random values for each parameter on a&nbsp;<b>log</b>&nbsp;scale<br></div><div>- try a coarse-to-fine search: zoom into smaller regions of the hyperparam space</div>
How do you fix a model exhibiting high bias?	"<div><u>Fixes:</u></div><div>- train for more epochs<u><br></u></div><div>- get more training data</div><div>- change network structure: # of layers, # units/layer</div><div>- tune hyperparameters like the learning rate&nbsp;\(\alpha\)</div><div><br></div>"
What is hand-engineering?	Hand-engineering is creating features the network designer thinks the network should learn. It's a way of embedding knowledge in the network other than through its architecture (and other than that which it learns from the data).
When is hand-engineering more prevalent?	Hand-engineering appears more in domains where there is not a wealth of data, like object detection. Data may be sparse because it is expensive to label or not available (i.e. not gathered or not publicly available)
What's test time multi-crop?	Multi-crop, or for example 10-crop, is taking multiple random crops of your image and testing your network's predictions on those at test time, then averaging the results. It typically yields better predictions than just one test on the image. (Possibly because of variation in where the subject is in the image.)
What's ensembling?	Ensembling is training multiple models separately, then averaging their results. It's used in benchmarks and competitions to achieve better accuracy, but not really used in production.
What's data augmentation?	Data augmentation is creating new data out of existing data through transformations that happen in memory (it would be prohibitively large to do so on disk). In CV, some examples are mirroring images, random cropping, adding distortions to RGB channels, colour shifting.
What is transfer learning?	Transfer learning means using a model which was pre-trained on a different dataset by fine-tuning it on your dataset.<div><br></div><div>This is typically done for tasks with little data, borrowing models where there was lots of data available.</div>
How would you do transfer learning where the original model output layer is a softmax for 1000 classes but you only need 3?	Replace the output layer with a softmax with 3 classes. Depending on how much data you have, you can unfreeze more of the original model's layers, or add your own and train them on your data.
What does it mean to freeze a transfer learning model layer?	Freezing a layer means you don't train it when re-training the model on your data.
How are convolutions more sparse than fully connected layers?	Two ways:<div>- <b>sparsity of connection</b>: in the output of a convolution, a given weight only depends on a subset of the weights of the input. It isn't connected to all of them</div><div>- <b>parameter sharing</b>: a feature learned in one part of an image can be reused in another part of the image, and doesn't need to be relearned (<i>no units reinventing the wheel</i>). This is achieved because the same kernel is passed over the entire image.</div>
What are two drawbacks of very deep neural networks?	Mainly two-fold; the dramatic increase in parameter number can lead to:<div>- overfitting, which means your model doesn't generalise well to unseen data</div><div>- prohibitively large computational cost</div>
What is an inception network? (Why did it get created?)	An inception network is a type of CNN with an architecture designed to optimise performance under a limited computational budget.
How does an inception network achieve optimal computational resource usage?	"An inception block ""tries"" different operations on the input, and concatenates the results."
What does an inception block look like?	"<div>An inception block typically has 1x1, 3x3 and 5x5 convolutions plus a 3x3 pooling layer. For the larger kernel sizes and for the pooling layer, we use a 1x1 convolution to reduce size, otherwise the computational cost would be immense.</div><img src=""https://firebasestorage.googleapis.com/v0/b/firescript-577a2.appspot.com/o/imgs%2Fapp%2Fhydracid-main%2FxTMMzdecy8.png?alt=media&amp;token=3cd1d0ae-2edf-43d4-9e6c-b01e756f5ef0"">"
What are&nbsp;[$]1\times 1[/$] convolutions?	They are convolutions with filter/kernel/window sizes of 1. This is trivial if your input volume has only one channel, but if it has multiple channels, it has the effect of transforming the depth of your input into the number of filters you are using.<div><br></div><div><u>Example:</u></div><div>256x256x64 convolved with 1x1x32 = 256x256x32</div>
How do&nbsp;[$]1 \times 1[/$] convolutions work?	"The numbers in the same position in the input volume are multiplied across channels; they are then applied ReLU and stored in the output volume.&nbsp;<div><br></div><div><img src=""https://firebasestorage.googleapis.com/v0/b/firescript-577a2.appspot.com/o/imgs%2Fapp%2Fhydracid-main%2FySnh176Ba-.png?alt=media&amp;token=1e3cb962-5b05-4c02-9fd2-eeddc302145c""><br></div>"
What is a bottleneck design?	A bottleneck design is any network that uses a bottleneck layer: applying a&nbsp;[$]1 \times 1[/$] convolution to a volume in order to reduce its size, and therefore the computational cost of applying the next convolution.
Do deeper networks have better performance than shallower networks?	No, not always. Deeper networks are subject to the <i>degradation problem</i>, where training error is higher than for shallower networks throughout the training process. The degradation problem isn't due to overfitting.<div><br></div><div>Resnets are one answer to this issue.<br><div><br></div><div>(cf. He et al. 2015)</div></div>
What is the motivation for ResNets? What are two advantages?	ResNets are a solution to the degradation problem, where deeper networks have larger error than shallower counterparts.&nbsp;<div><br></div><div>Two advantages of the ResNet architecture are:</div><div>- easy to optimise, exhibit smaller training error as depth increase;</div><div>- a direct consequence of the above is: we can increase depth (and with it, accuracy) without harming convergence;</div>
"What's a ""main path""?"	A main path, used in the ResNet context is the sequence of layers leading from the input to the output.
What is a shortcut/skip connection in a ResNet?	The skip connection is a connection between layers in addition to the main path, where activation from a layer&nbsp;[$]l[/$] is added to the main path activation of a layer, e.g.&nbsp;[$]l+2[/$].
What does the activation at a layer with a skip connection look like?	Let's say we have a skip connection from layer&nbsp;[$]l[/$] to layer&nbsp;[$]l+2[/$]<div><br></div><div>[$]a^{[l+2]} = g(z^{[l+2]} + a^{[l]})[/$]<br></div>
What is object localisation? What is the difference between object localisation and object detection?	Localisation is classifying an image with an object in it and putting a bounding box around the object.<div><br></div><div>Detection is localising and classifying a scene with potentially many different (and different types of) objects.</div>
What does the output of a convnet applied to object localisation/detection look like?	<div>In the below vector, we have:</div><div>[$]p_c[/$]: confidence that there is an object in the image or grid cell for which this output was produced<br></div><div>[$] b_x, b_y, b_H, b_w[/$]: bounding box mid-point coordinates as well as height and width<br>[$] c_i [/$]: flag for whether class&nbsp;[$]i[/$] is in this image/cell (could be&nbsp;[$]c_1[/$] = car,&nbsp;[$]c_2[/$] = rabbit etc.) If there is only one type of object this is not needed.<br><br></div>[$] y = \begin{bmatrix} p_c \\ b_x \\ b_y \\ b_H \\ b_W \\ c_1 \\ c_2 \\ \dots \end{bmatrix}[/$]<br>
Are there multiple ways to represent the bounding box?	Yes, you can represent it using the coordinates of the mid-point and its height and width. An alternative is representing it using coordinates for its top-left and bottom-right points.
How are the coordinates of the image considered when calculating the coordinates of the bounding box? Is it an absolute or relative position?	The image's top-left corner is&nbsp;[$](0, 0)[/$]. The image's bottom right-corner is&nbsp;[$](1, 1)[/$].&nbsp;<div><br></div><div>Bounding box coordinates are expressed relative to these points, so a box in the centre of the image would have midpoint coordinates&nbsp;[$](0.5, 0.5)[/$]</div>
In plain wording, how might a loss function look for the object detection task?	Plainly:<div>- if there is an object in the current image/cell, penalise the divergence of the predicted bounding box and predicted class from the true bounding box and class ([$]y = 1[/$])</div><div>- if there is no object, penalise if the network thinks there was ([$]y = 0[/$])</div>
What is a typical formula for the loss function for object detection?	[$]L(\hat{y}, y) = \left\{ \begin{array}{ll} \sum_{i=1}^{|y|} (\hat{y}_i - y_i)^2 &amp; \text{if } y_1 = 1 \\ (\hat{y}_1 - y_1)^2 &amp; \text{if } y_1 = 0 \end{array}\right.[/$]<br>
How does sliding window object detection work?	Sliding window detection works by passing a small window over the entire area of the test image, with a given stride. At each step, we run an object detection convnet on the contents of the image under the sliding window.&nbsp;<div><br></div><div>The convnet would have been previously trained on a set of closely cropped images that either contained or did not contain an object.</div>
What are some disadvantages of the naïve sliding window approach?	Computational cost is the largest disadvantage. If you increase the stride, the cost goes down, but so does accuracy. The converse is also true. This makes the naïve approach infeasibly slow.<div><br><div>It's also the case, as outlined by R-CNN, that sliding windows often look at areas that are not of interest—there are no objects there.</div></div>
